            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2354525.877083333, A.D. 1734-May-16 09:03:00.0000,  2.932932199058183E+08,  1.258869548009273E+08, -6.011325195446549E+07,
2354890.877083333, A.D. 1735-May-16 09:03:00.0000,  2.941843512489035E+08,  1.239430508848256E+08, -5.985977294060857E+07,
2355256.877083333, A.D. 1736-May-16 09:03:00.0000,  2.925986761955304E+08,  1.248008426660561E+08, -5.984147847257885E+07,
2355621.877083333, A.D. 1737-May-16 09:03:00.0000,  2.934917208607438E+08,  1.228595835165758E+08, -5.958063561193347E+07,
2355986.877083333, A.D. 1738-May-16 09:03:00.0000,  2.943433384532470E+08,  1.209494272778251E+08, -5.931577308586607E+07,
2356351.877083333, A.D. 1739-May-16 09:03:00.0000,  2.951357910737503E+08,  1.190061289720232E+08, -5.903980189993849E+07,
2356717.877083333, A.D. 1740-May-16 09:03:00.0000,  2.935682821207450E+08,  1.198042181407017E+08, -5.901726423531952E+07,
2357082.877083333, A.D. 1741-May-16 09:03:00.0000,  2.943888453299208E+08,  1.178045764621920E+08, -5.872528429646234E+07,
2357447.877083333, A.D. 1742-May-16 09:03:00.0000,  2.951744710446262E+08,  1.157814227881412E+08, -5.842234209090796E+07,
2357812.877083333, A.D. 1743-May-16 09:03:00.0000,  2.959444102938791E+08,  1.137515133981704E+08, -5.811204246077312E+07,
2358178.877083333, A.D. 1744-May-16 09:03:00.0000,  2.943535064291635E+08,  1.145276304331343E+08, -5.806842643895029E+07,
2358543.877083333, A.D. 1745-May-16 09:03:00.0000,  2.950799786227257E+08,  1.124790236432158E+08, -5.774290451289994E+07,
2358908.877083333, A.D. 1746-May-16 09:03:00.0000,  2.957741986456932E+08,  1.104475042602965E+08, -5.741304755398872E+07,
2359273.877083333, A.D. 1747-May-16 09:03:00.0000,  2.964320824977379E+08,  1.084006538632002E+08, -5.707640580933175E+07,
2359639.877083333, A.D. 1748-May-16 09:03:00.0000,  2.948666401374890E+08,  1.091050690275367E+08, -5.702752364919897E+07,
2360004.877083333, A.D. 1749-May-16 09:03:00.0000,  2.955399113798991E+08,  1.070444276875553E+08, -5.667588950103990E+07,
2360369.877083333, A.D. 1750-May-16 09:03:00.0000,  2.961525978044669E+08,  1.049606260800337E+08, -5.631438744757672E+07,
2360734.877083333, A.D. 1751-May-16 09:03:00.0000,  2.967368804531847E+08,  1.028319706029449E+08, -5.593662426594560E+07,
2361100.877083333, A.D. 1752-May-16 09:03:00.0000,  2.951263933072734E+08,  1.034840696248370E+08, -5.586469640364993E+07,
2361465.877083333, A.D. 1753-May-16 09:03:00.0000,  2.956967995469921E+08,  1.013400987680937E+08, -5.547412638540206E+07,
2361830.877083333, A.D. 1754-May-16 09:03:00.0000,  2.962495796049535E+08,  9.919577604396403E+07, -5.507938869280007E+07,
2362195.877083333, A.D. 1755-May-16 09:03:00.0000,  2.967406409492842E+08,  9.707173702208123E+07, -5.467469927409819E+07,
2362561.877083333, A.D. 1756-May-16 09:03:00.0000,  2.951223358170236E+08,  9.768760305608474E+07, -5.458863776972535E+07,
2362926.877083333, A.D. 1757-May-16 09:03:00.0000,  2.955880757062140E+08,  9.553994073195887E+07, -5.416414279561341E+07,
2363291.877083333, A.D. 1758-May-16 09:03:00.0000,  2.960067097664744E+08,  9.336063059541112E+07, -5.372783107392759E+07,
2363656.877083333, A.D. 1759-May-16 09:03:00.0000,  2.964094550167282E+08,  9.115343898174931E+07, -5.328475208355191E+07,
2364022.877083333, A.D. 1760-May-16 09:03:00.0000,  2.947728544099827E+08,  9.172445795059098E+07, -5.318159607721211E+07,
2364387.877083333, A.D. 1761-May-16 09:03:00.0000,  2.951438317476535E+08,  8.953916354909192E+07, -5.272341457837839E+07,
2364752.877083333, A.D. 1762-May-16 09:03:00.0000,  2.954817390059847E+08,  8.732148750576299E+07, -5.225195018276383E+07,
2365117.877083333, A.D. 1763-May-16 09:03:00.0000,  2.957452531746075E+08,  8.508919207046056E+07, -5.176375230644815E+07,
2365483.877083333, A.D. 1764-May-16 09:03:00.0000,  2.940605559782152E+08,  8.556019603543042E+07, -5.163198115507906E+07,
2365848.877083333, A.D. 1765-May-16 09:03:00.0000,  2.943177389993050E+08,  8.333156185757832E+07, -5.113022685179635E+07,
2366213.877083333, A.D. 1766-May-16 09:03:00.0000,  2.945285046965793E+08,  8.109984488918312E+07, -5.062077179065725E+07,
2366578.877083333, A.D. 1767-May-16 09:03:00.0000,  2.947108732834527E+08,  7.885066995816164E+07, -5.010371955012306E+07,
