            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2454439.500000000, A.D. 2007-Dec-05 00:00:00.0000, -5.848950110585276E+07, -3.719897788475706E+07, -3.339450730383148E+07,
2454440.500000000, A.D. 2007-Dec-06 00:00:00.0000, -5.905159464868538E+07, -4.005492938961008E+07, -3.324260759923152E+07,
2454441.500000000, A.D. 2007-Dec-07 00:00:00.0000, -5.958029888129030E+07, -4.297767500928004E+07, -3.310068581166935E+07,
2454442.500000000, A.D. 2007-Dec-08 00:00:00.0000, -6.007163987282509E+07, -4.596923452752843E+07, -3.297047333807540E+07,
2454443.500000000, A.D. 2007-Dec-09 00:00:00.0000, -6.052127568982357E+07, -4.903147746625291E+07, -3.285378592981495E+07,
2454444.500000000, A.D. 2007-Dec-10 00:00:00.0000, -6.092448214053851E+07, -5.216608080849583E+07, -3.275251929027991E+07,
2454445.500000000, A.D. 2007-Dec-11 00:00:00.0000, -6.127614189916211E+07, -5.537448158005247E+07, -3.266864257217400E+07,
2454446.500000000, A.D. 2007-Dec-12 00:00:00.0000, -6.157073811070310E+07, -5.865782419896246E+07, -3.260418939175359E+07,
2454447.500000000, A.D. 2007-Dec-13 00:00:00.0000, -6.180235377907968E+07, -6.201690270613182E+07, -3.256124597780831E+07,
2454448.500000000, A.D. 2007-Dec-14 00:00:00.0000, -6.196467840378559E+07, -6.545209827446836E+07, -3.254193610185537E+07,
2454449.500000000, A.D. 2007-Dec-15 00:00:00.0000, -6.205102342506305E+07, -6.896331274492776E+07, -3.254840248927901E+07,
2454450.500000000, A.D. 2007-Dec-16 00:00:00.0000, -6.205434804537895E+07, -7.254989933161101E+07, -3.258278448306200E+07,
2454451.500000000, A.D. 2007-Dec-17 00:00:00.0000, -6.196729691354717E+07, -7.621059204667878E+07, -3.264719181864443E+07,
2454452.500000000, A.D. 2007-Dec-18 00:00:00.0000, -6.178225099988367E+07, -7.994343579730144E+07, -3.274367447405619E+07,
2454453.500000000, A.D. 2007-Dec-19 00:00:00.0000, -6.149139277751583E+07, -8.374571949593407E+07, -3.287418870011200E+07,
2454454.500000000, A.D. 2007-Dec-20 00:00:00.0000, -6.108678656747424E+07, -8.761391492307031E+07, -3.304055954322609E+07,
2454455.500000000, A.D. 2007-Dec-21 00:00:00.0000, -6.056047456767414E+07, -9.154362453514381E+07, -3.324444049185202E+07,
2454456.500000000, A.D. 2007-Dec-22 00:00:00.0000, -5.990458854041684E+07, -9.552954195133975E+07, -3.348727133519469E+07,
2454457.500000000, A.D. 2007-Dec-23 00:00:00.0000, -5.911147616441267E+07, -9.956542940123662E+07, -3.377023587799883E+07,
2454458.500000000, A.D. 2007-Dec-24 00:00:00.0000, -5.817383950755694E+07, -1.036441166785265E+08, -3.409422164699225E+07,
2454459.500000000, A.D. 2007-Dec-25 00:00:00.0000, -5.708488110874797E+07, -1.077575256863073E+08, -3.445978391676419E+07,
2454460.500000000, A.D. 2007-Dec-26 00:00:00.0000, -5.583845136645978E+07, -1.118967232163962E+08, -3.486711613863529E+07,
2454461.500000000, A.D. 2007-Dec-27 00:00:00.0000, -5.442919001842575E+07, -1.160520024261539E+08, -3.531602829512075E+07,
2454462.500000000, A.D. 2007-Dec-28 00:00:00.0000, -5.285265471246380E+07, -1.202129912152910E+08, -3.580593412252924E+07,
2454463.500000000, A.D. 2007-Dec-29 00:00:00.0000, -5.110543066465850E+07, -1.243687839171368E+08, -3.633584775243559E+07,
